species,decimalLatitude,decimalLongitude
Anthracoceros albirostris,3.340184,101.249762
Buceros rhinoceros,3.55924,101.838335
Anthracoceros albirostris,3.340184,101.249762
Anthracoceros malayanus,4.377851,102.578828
Anthracoceros malayanus,3.0058,101.915292
Anthracoceros malayanus,3.026949,101.870161
Buceros bicornis,3.768397,101.622353
Buceros bicornis,3.796352,101.68648
Anorrhinus galeritus,4.331622,102.409023
Anthracoceros albirostris,3.497873,102.191079
Buceros rhinoceros,4.239395,101.886404
Anorrhinus galeritus,5.473814,118.315664
Anthracoceros albirostris,4.293338,118.118779
Buceros rhinoceros,3.835243,103.347522
Buceros bicornis,4.28198,102.211836
Buceros rhinoceros,5.411262,118.378837
Aceros corrugatus,5.476724,118.346536
Anthracoceros albirostris,5.483834,118.26409
Anthracoceros albirostris,5.552876,118.333623
Berenicornis comatus,5.478967,118.390747
Aceros corrugatus,5.423155,118.238262
Buceros rhinoceros,5.857781,117.96657
Anthracoceros albirostris,1.491332,103.821554
Anthracoceros albirostris,1.491138,103.820518
Rhyticeros undulatus,4.11803,114.923985
Anthracoceros albirostris,5.492345,118.285672
Aceros corrugatus,5.473543,118.359582
Anthracoceros albirostris,5.452355,118.251547
Anthracoceros albirostris,6.027817,116.017268
Anthracoceros albirostris,5.470018,118.264537
Rhyticeros undulatus,5.397679,116.09778
Anorrhinus galeritus,5.0198,117.7462
Anthracoceros albirostris,5.50429,118.27074
Anthracoceros malayanus,5.876139,117.944145
Anorrhinus galeritus,4.397206,102.402176
Berenicornis comatus,5.0198,117.7462
Anorrhinus galeritus,5.0198,117.7462
Anthracoceros albirostris,5.753382,118.34547
Anthracoceros albirostris,5.50781,118.29077
Rhyticeros undulatus,6.016117,116.55173
Aceros corrugatus,5.508605,118.282265
Buceros rhinoceros,5.0198,117.7462
Buceros rhinoceros,1.816369,103.85346
Buceros bicornis,6.176991,100.84162
Buceros bicornis,5.606525,101.542946
Anthracoceros albirostris,6.38274,99.820435
Anorrhinus galeritus,5.239341,118.71002
Buceros bicornis,5.606146,101.541725
Rhyticeros undulatus,5.239341,118.71002
Anthracoceros malayanus,5.239341,118.71002
Anthracoceros malayanus,5.86684,117.94813
Anorrhinus galeritus,4.607455,100.85864
Buceros rhinoceros,4.471011,117.91626
Anthracoceros albirostris,4.359992,102.39817
Buceros rhinoceros,5.571424,118.33179
Anthracoceros albirostris,5.552004,118.33413
Anthracoceros albirostris,5.188017,118.5018
Aceros corrugatus,5.498167,118.280914
Buceros rhinoceros,4.395587,102.432526
Anorrhinus galeritus,5.50429,118.27074
Anthracoceros malayanus,2.558139,103.79751
Rhyticeros undulatus,3.29763,101.90001
Berenicornis comatus,5.0198,117.7462
Buceros rhinoceros,5.0198,117.7462
Anorrhinus galeritus,5.876139,117.944145
Buceros rhinoceros,4.85347,100.74948
Buceros rhinoceros,4.391384,102.39927
Buceros rhinoceros,4.471011,117.91626
Rhyticeros undulatus,5.0198,117.7462
